Index,Hogwarts House
0,Gryffindor
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,Gryffindor
15,Gryffindor
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,Gryffindor
35,
36,
37,
38,
39,
40,
41,
42,Gryffindor
43,
44,
45,
46,Gryffindor
47,
48,
49,
50,
51,
52,
53,Gryffindor
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,Gryffindor
68,
69,
70,
71,
72,
73,
74,
75,
76,Gryffindor
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,Gryffindor
98,
99,
100,
101,
102,Gryffindor
103,
104,
105,
106,
107,
108,
109,
110,
111,Gryffindor
112,Gryffindor
113,Gryffindor
114,Gryffindor
115,
116,Gryffindor
117,
118,
119,
120,Gryffindor
121,
122,Gryffindor
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,Gryffindor
135,Gryffindor
136,Gryffindor
137,Gryffindor
138,
139,
140,
141,Gryffindor
142,
143,
144,
145,
146,
147,
148,
149,
150,Gryffindor
151,
152,
153,
154,
155,
156,
157,
158,
159,Gryffindor
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,Gryffindor
171,
172,
173,Gryffindor
174,
175,
176,Gryffindor
177,
178,Gryffindor
179,Gryffindor
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,Gryffindor
193,
194,
195,
196,
197,Gryffindor
198,
199,
200,
201,
202,Gryffindor
203,Gryffindor
204,
205,
206,
207,
208,
209,Gryffindor
210,
211,
212,
213,
214,Gryffindor
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,Gryffindor
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,Gryffindor
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,Gryffindor
251,
252,
253,
254,
255,
256,
257,
258,
259,Gryffindor
260,
261,
262,Gryffindor
263,
264,
265,
266,
267,Gryffindor
268,
269,Gryffindor
270,
271,Gryffindor
272,
273,
274,Gryffindor
275,Gryffindor
276,
277,
278,
279,
280,
281,Gryffindor
282,
283,
284,
285,Gryffindor
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,Gryffindor
308,
309,
310,
311,
312,
313,
314,
315,
316,Gryffindor
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,Gryffindor
327,
328,
329,Gryffindor
330,
331,
332,
333,
334,Gryffindor
335,Gryffindor
336,
337,Gryffindor
338,
339,
340,
341,
342,Gryffindor
343,
344,
345,Gryffindor
346,
347,Gryffindor
348,
349,
350,
351,Gryffindor
352,
353,
354,
355,
356,
357,
358,Gryffindor
359,
360,
361,
362,
363,Gryffindor
364,
365,
366,
367,
368,
369,
370,Gryffindor
371,
372,
373,
374,
375,
376,Gryffindor
377,
378,
379,Gryffindor
380,
381,
382,
383,
384,
385,
386,
387,
388,Gryffindor
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,Gryffindor
399,
400,Gryffindor
401,
402,
403,
404,Gryffindor
405,
406,
407,Gryffindor
408,
409,
410,
411,
412,
413,Gryffindor
414,
415,Gryffindor
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,Gryffindor
430,
431,Gryffindor
432,
433,
434,
435,
436,Gryffindor
437,Gryffindor
438,
439,Gryffindor
440,
441,Gryffindor
442,Gryffindor
443,
444,Gryffindor
445,
446,
447,
448,Gryffindor
449,
450,
451,
452,
453,
454,
455,
456,
457,Gryffindor
458,
459,
460,
461,
462,Gryffindor
463,Gryffindor
464,
465,
466,
467,
468,
469,
470,Gryffindor
471,
472,
473,
474,
475,Gryffindor
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,Gryffindor
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,Gryffindor
499,Gryffindor
500,
501,
502,
503,
504,
505,
506,
507,Gryffindor
508,
509,
510,Gryffindor
511,
512,
513,
514,
515,
516,Gryffindor
517,
518,
519,
520,
521,
522,
523,
524,
525,Gryffindor
526,
527,
528,
529,
530,Gryffindor
531,
532,
